_id,Name,Location,Dob,Category,Pricing,Photo,Menu
1,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[20.15671454484979,-21.539341355531505]}",2018-03-22T00:00:00Z,Japanese,4,1,"{""Items"":[]}"
2,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-57.191823864595634,-22.214453624087298]}",2015-06-12T00:00:00Z,Japanese,1,1,"{""Items"":[{""_id"":""112"",""Price"":11.013736858998389},{""_id"":""236"",""Price"":61.6650899465023}]}"
3,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[149.4720569055184,54.5570857714757]}",2015-06-12T00:00:00Z,Mexican,2,1,"{""Items"":[{""_id"":""174"",""Price"":103.43396415964042},{""_id"":""61"",""Price"":102.01727351281191},{""_id"":""277"",""Price"":132.44162525871374},{""_id"":""234"",""Price"":15.860042116601475},{""_id"":""1"",""Price"":33.07707516449114},{""_id"":""63"",""Price"":105.68157821865834},{""_id"":""277"",""Price"":45.43575128753529},{""_id"":""147"",""Price"":124.75899528603864}]}"
4,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-75.04099075448855,-38.180714992642194]}",2018-03-22T00:00:00Z,Mexican,4,1,"{""Items"":[{""_id"":""107"",""Price"":113.03900061934422},{""_id"":""84"",""Price"":118.3305753710353}]}"
5,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-116.27496555294226,-82.00233806330294]}",2020-01-15T00:00:00Z,American,2,1,"{""Items"":[{""_id"":""101"",""Price"":132.86779741665768},{""_id"":""60"",""Price"":56.35150597349629},{""_id"":""99"",""Price"":109.81869016572149},{""_id"":""135"",""Price"":107.56256207099119},{""_id"":""291"",""Price"":61.55705322969072},{""_id"":""51"",""Price"":71.08641052826141},{""_id"":""193"",""Price"":149.49882358458666}]}"
6,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[121.89670682906473,-74.88568962538571]}",2015-06-12T00:00:00Z,American,4,1,"{""Items"":[{""_id"":""233"",""Price"":116.2028062616271},{""_id"":""259"",""Price"":130.4579757971206},{""_id"":""29"",""Price"":100.07319636460062},{""_id"":""293"",""Price"":50.11856737051154},{""_id"":""179"",""Price"":81.54452549176736},{""_id"":""275"",""Price"":68.16526543402172},{""_id"":""201"",""Price"":6.9944061919607385},{""_id"":""211"",""Price"":14.049126128436454},{""_id"":""300"",""Price"":140.48790871016976}]}"
7,Giorno,"{""LocType"":""Point"",""Coordinates"":[-169.51681369456477,-29.842408464072932]}",2018-03-22T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""229"",""Price"":96.7806609120679},{""_id"":""89"",""Price"":79.12047536163946},{""_id"":""245"",""Price"":31.69788882880985},{""_id"":""262"",""Price"":28.82187523219516},{""_id"":""227"",""Price"":79.60811084933707}]}"
8,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[43.95353636599327,60.270855485013044]}",2015-06-12T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""280"",""Price"":64.47826960997054},{""_id"":""77"",""Price"":92.61985446832821},{""_id"":""1"",""Price"":98.35122826834312},{""_id"":""260"",""Price"":87.44167113039899},{""_id"":""128"",""Price"":44.15750692831866},{""_id"":""145"",""Price"":83.56845818538847},{""_id"":""216"",""Price"":130.5080900709436},{""_id"":""94"",""Price"":3.5900143521561514}]}"
9,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[99.20812601296302,-13.744849245955834]}",2018-03-22T00:00:00Z,American,2,1,"{""Items"":[{""_id"":""109"",""Price"":99.07183015779974}]}"
10,Giorno,"{""LocType"":""Point"",""Coordinates"":[-38.21613624692159,-35.20590513976998]}",2015-06-12T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""234"",""Price"":7.159413246706139},{""_id"":""124"",""Price"":66.34381026468317},{""_id"":""28"",""Price"":10.580952818207479},{""_id"":""133"",""Price"":147.1421659993864},{""_id"":""43"",""Price"":69.4593346346918},{""_id"":""8"",""Price"":63.63450283714675},{""_id"":""257"",""Price"":86.87231509932839},{""_id"":""22"",""Price"":132.45980374921368},{""_id"":""72"",""Price"":103.33183606737816}]}"
11,Giorno,"{""LocType"":""Point"",""Coordinates"":[-31.21500780719228,73.07185360138988]}",2018-03-22T00:00:00Z,Japanese,4,1,"{""Items"":[{""_id"":""52"",""Price"":123.59149886925947},{""_id"":""201"",""Price"":42.857821133934024},{""_id"":""24"",""Price"":52.48461869260599},{""_id"":""59"",""Price"":18.0070694112025},{""_id"":""172"",""Price"":117.70405133737891},{""_id"":""169"",""Price"":33.10122029919088},{""_id"":""287"",""Price"":67.1638822901091}]}"
12,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[92.68265913557315,-64.66087078689047]}",2015-06-12T00:00:00Z,Japanese,4,1,"{""Items"":[{""_id"":""68"",""Price"":11.305183921388632},{""_id"":""135"",""Price"":25.880035282895168},{""_id"":""21"",""Price"":108.71193842227567}]}"
13,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[129.44669957124336,64.08227602832156]}",2020-01-15T00:00:00Z,Mexican,3,1,"{""Items"":[{""_id"":""182"",""Price"":91.30158379626175},{""_id"":""17"",""Price"":92.80832512569916},{""_id"":""233"",""Price"":33.236107809448605},{""_id"":""31"",""Price"":46.61821259324561},{""_id"":""29"",""Price"":121.76286469165072},{""_id"":""200"",""Price"":5.017220113868254},{""_id"":""42"",""Price"":59.58211311946059},{""_id"":""99"",""Price"":101.36595438905557}]}"
14,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-1.412548792106179,42.07167920250521]}",2015-06-12T00:00:00Z,Japanese,1,1,"{""Items"":[{""_id"":""75"",""Price"":106.05471135081214},{""_id"":""210"",""Price"":143.17498812020946},{""_id"":""186"",""Price"":32.20173675030328},{""_id"":""224"",""Price"":80.81523644166266}]}"
15,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[52.229583130566795,-61.71147591919671]}",2015-06-12T00:00:00Z,American,2,1,"{""Items"":[{""_id"":""225"",""Price"":149.26694685440646},{""_id"":""194"",""Price"":55.61388276099435},{""_id"":""210"",""Price"":7.822349726021071}]}"
16,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-176.7832097304377,-12.809020046116075]}",2018-03-22T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""142"",""Price"":114.23954053714381},{""_id"":""249"",""Price"":112.12064994219136},{""_id"":""218"",""Price"":139.39849838888156},{""_id"":""114"",""Price"":41.839249837200626},{""_id"":""173"",""Price"":3.850045331174934}]}"
17,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[13.89835041297195,-7.523550905564036]}",2020-01-15T00:00:00Z,Mexican,3,1,"{""Items"":[]}"
18,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-133.38851824637874,-23.627029444521852]}",2015-06-12T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""126"",""Price"":129.2287461036519},{""_id"":""205"",""Price"":92.75609196034567},{""_id"":""33"",""Price"":12.070832080026308},{""_id"":""267"",""Price"":44.79837398829828},{""_id"":""290"",""Price"":106.67922707829298},{""_id"":""90"",""Price"":1.8977360219873631},{""_id"":""101"",""Price"":72.47897648103991}]}"
19,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[154.2760881562728,-41.819704314272634]}",2018-03-22T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""234"",""Price"":110.43342076978583},{""_id"":""120"",""Price"":42.35342976129875},{""_id"":""19"",""Price"":107.66490953483743},{""_id"":""130"",""Price"":37.696979800871844},{""_id"":""76"",""Price"":144.49924865435085},{""_id"":""245"",""Price"":149.75606848380392}]}"
20,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[132.11391368532395,-70.34093344231613]}",2018-03-22T00:00:00Z,Mexican,2,1,"{""Items"":[{""_id"":""164"",""Price"":84.88165977487533},{""_id"":""35"",""Price"":84.80186083418363},{""_id"":""98"",""Price"":50.30113306305567},{""_id"":""61"",""Price"":37.218602654840225},{""_id"":""279"",""Price"":26.54015843694394}]}"
21,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-67.99830736581397,-40.88486058366212]}",2018-03-22T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""140"",""Price"":135.2355678302246}]}"
22,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[146.35071110803688,45.1050672774891]}",2018-03-22T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""218"",""Price"":75.05789638907531},{""_id"":""79"",""Price"":133.55362905633402}]}"
23,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-117.6540630380558,18.379001872367922]}",2015-06-12T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""273"",""Price"":3.2792828105457614},{""_id"":""156"",""Price"":14.282411004764688},{""_id"":""255"",""Price"":133.06656728025132},{""_id"":""177"",""Price"":120.07768174726638},{""_id"":""148"",""Price"":38.46942397779876},{""_id"":""161"",""Price"":10.042791150486444}]}"
24,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[68.30556221239254,-75.8173173858395]}",2018-03-22T00:00:00Z,American,4,1,"{""Items"":[{""_id"":""167"",""Price"":72.68082192369893},{""_id"":""200"",""Price"":41.85653430582307},{""_id"":""135"",""Price"":29.960918061993162},{""_id"":""274"",""Price"":107.93640655521573},{""_id"":""94"",""Price"":80.13633741799865},{""_id"":""204"",""Price"":115.48718272556711}]}"
25,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-93.13198746711116,-38.75911331110986]}",2015-06-12T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""23"",""Price"":131.51472918772154},{""_id"":""283"",""Price"":15.401967405605827},{""_id"":""70"",""Price"":50.35828447779564},{""_id"":""271"",""Price"":47.31664766654499}]}"
26,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[115.46994962456012,60.648498166624364]}",2015-06-12T00:00:00Z,Mexican,2,1,"{""Items"":[{""_id"":""245"",""Price"":21.64144483432161},{""_id"":""30"",""Price"":72.01223559934151}]}"
27,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-160.05677986262953,20.717582310656567]}",2020-01-15T00:00:00Z,Mexican,3,1,"{""Items"":[{""_id"":""22"",""Price"":48.11154867841875},{""_id"":""107"",""Price"":52.31014403529494},{""_id"":""36"",""Price"":135.53521420874088},{""_id"":""259"",""Price"":137.43237885143415},{""_id"":""62"",""Price"":127.48260837257351}]}"
28,Giorno,"{""LocType"":""Point"",""Coordinates"":[165.87381518903936,-79.55323021862428]}",2018-03-22T00:00:00Z,Japanese,1,1,"{""Items"":[{""_id"":""13"",""Price"":112.22701825635642},{""_id"":""89"",""Price"":16.22462211418253},{""_id"":""233"",""Price"":45.54036465801569},{""_id"":""290"",""Price"":77.24316106435663},{""_id"":""47"",""Price"":55.28283415078471},{""_id"":""188"",""Price"":70.94662323435854},{""_id"":""23"",""Price"":2.5552035114924068},{""_id"":""209"",""Price"":68.28434801456117},{""_id"":""220"",""Price"":114.36676044771873}]}"
29,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[136.9590262804171,70.26245418910733]}",2015-06-12T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""208"",""Price"":27.73950304224196},{""_id"":""97"",""Price"":27.851328237356597},{""_id"":""128"",""Price"":58.01105653126849},{""_id"":""97"",""Price"":105.60040237165624}]}"
30,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-112.23182835598587,-61.18317622059256]}",2015-06-12T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""18"",""Price"":142.26011147802535},{""_id"":""134"",""Price"":20.262952699649205},{""_id"":""189"",""Price"":23.476547408850927},{""_id"":""168"",""Price"":26.35219144001872},{""_id"":""184"",""Price"":129.89909556041988},{""_id"":""96"",""Price"":17.053063848623097}]}"
31,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[105.86302342958396,-15.091299395231573]}",2018-03-22T00:00:00Z,American,4,1,"{""Items"":[{""_id"":""287"",""Price"":33.35307052619536},{""_id"":""259"",""Price"":38.40410610733143}]}"
32,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[139.07479627390222,58.214041048406784]}",2015-06-12T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""128"",""Price"":25.23605380358781},{""_id"":""150"",""Price"":101.15694195830926},{""_id"":""210"",""Price"":18.33579118481736},{""_id"":""232"",""Price"":28.591663835090504},{""_id"":""123"",""Price"":95.09069706986898},{""_id"":""129"",""Price"":23.42677759122783}]}"
33,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-93.63068280413,28.616571068127087]}",2018-03-22T00:00:00Z,Japanese,1,1,"{""Items"":[{""_id"":""200"",""Price"":58.11553116146419},{""_id"":""20"",""Price"":1.9056006787067135},{""_id"":""5"",""Price"":126.68265307250098},{""_id"":""273"",""Price"":144.3849646595284},{""_id"":""15"",""Price"":21.45580675461098}]}"
34,Giorno,"{""LocType"":""Point"",""Coordinates"":[-38.95330332216946,-71.42147994210566]}",2015-06-12T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""39"",""Price"":137.4683856176605}]}"
35,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-143.50240785575005,26.331693540612363]}",2018-03-22T00:00:00Z,American,2,1,"{""Items"":[{""_id"":""129"",""Price"":32.36035811957091},{""_id"":""245"",""Price"":38.122501804318304},{""_id"":""71"",""Price"":64.37854815862383},{""_id"":""40"",""Price"":89.11208110326317},{""_id"":""47"",""Price"":113.71654527499258}]}"
36,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[155.99040202599969,86.55212145683953]}",2020-01-15T00:00:00Z,Mexican,4,1,"{""Items"":[]}"
37,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-136.9671930862157,81.45917790779845]}",2015-06-12T00:00:00Z,Japanese,1,1,"{""Items"":[]}"
38,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-38.642697759409316,75.63484424339748]}",2015-06-12T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""189"",""Price"":53.57920741347584},{""_id"":""155"",""Price"":127.81023608717126},{""_id"":""36"",""Price"":114.88371366138743},{""_id"":""115"",""Price"":105.6775620902308},{""_id"":""200"",""Price"":59.958385220860364},{""_id"":""12"",""Price"":29.42597478222951},{""_id"":""102"",""Price"":27.206774284290475},{""_id"":""294"",""Price"":135.7358442339074},{""_id"":""114"",""Price"":71.35274488763756}]}"
39,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[170.31405939233207,-13.969106964572873]}",2020-01-15T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""65"",""Price"":79.05720971621813},{""_id"":""139"",""Price"":96.95372718355303},{""_id"":""139"",""Price"":58.457736654807995},{""_id"":""48"",""Price"":74.31526126572166},{""_id"":""67"",""Price"":49.117163471940124}]}"
40,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-125.0139993098654,-45.41866880174598]}",2020-01-15T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""140"",""Price"":11.418712663222196},{""_id"":""144"",""Price"":134.29635861985184},{""_id"":""81"",""Price"":128.51837691090037},{""_id"":""149"",""Price"":103.97024430523666},{""_id"":""192"",""Price"":61.593027955789964},{""_id"":""42"",""Price"":46.35281986372358},{""_id"":""20"",""Price"":132.98518628842106},{""_id"":""193"",""Price"":89.3435441595573}]}"
41,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[27.744939151223008,33.35604842116719]}",2020-01-15T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""66"",""Price"":69.67380871556075},{""_id"":""94"",""Price"":5.3771945072898815}]}"
42,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[12.174323905243057,56.645919934646514]}",2020-01-15T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""243"",""Price"":41.00654665720244},{""_id"":""219"",""Price"":100.91216393170092},{""_id"":""54"",""Price"":118.9013155761869},{""_id"":""197"",""Price"":108.83748546956858},{""_id"":""208"",""Price"":54.230029642105556},{""_id"":""186"",""Price"":125.26520187186539},{""_id"":""262"",""Price"":6.289010862206626},{""_id"":""31"",""Price"":53.0843835039564},{""_id"":""15"",""Price"":92.51372529109992}]}"
43,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[89.41040257014106,-58.505408583856095]}",2020-01-15T00:00:00Z,American,1,1,"{""Items"":[]}"
44,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[113.2464054062832,81.86139055721941]}",2018-03-22T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""107"",""Price"":126.33021725650933},{""_id"":""212"",""Price"":2.1731943901558917},{""_id"":""94"",""Price"":99.26009431550486},{""_id"":""197"",""Price"":107.31440378223225},{""_id"":""300"",""Price"":83.6606779322498},{""_id"":""198"",""Price"":120.26454166410815},{""_id"":""41"",""Price"":25.524891198731726},{""_id"":""197"",""Price"":18.387649368192406},{""_id"":""256"",""Price"":116.5739174173183}]}"
45,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[56.983734564406944,-44.42467616466271]}",2015-06-12T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""197"",""Price"":14.943912997182682},{""_id"":""281"",""Price"":133.1068711415324},{""_id"":""266"",""Price"":93.75724845718997},{""_id"":""97"",""Price"":63.334023452571266}]}"
46,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-149.32915243006687,62.80963429960215]}",2020-01-15T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""251"",""Price"":32.83709255849451},{""_id"":""53"",""Price"":65.18922708914509},{""_id"":""187"",""Price"":17.59394858651412}]}"
47,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[130.62841532120416,-46.23536720916461]}",2020-01-15T00:00:00Z,Mexican,3,1,"{""Items"":[{""_id"":""175"",""Price"":102.21605248546975},{""_id"":""59"",""Price"":114.55126286508877},{""_id"":""298"",""Price"":89.33971290820664},{""_id"":""191"",""Price"":109.67187592766443},{""_id"":""12"",""Price"":96.12826076201084},{""_id"":""222"",""Price"":79.97545910676243},{""_id"":""93"",""Price"":140.43078481261313}]}"
48,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-53.151289387073646,-89.69692544096645]}",2020-01-15T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""218"",""Price"":67.0231746250642},{""_id"":""207"",""Price"":85.16301532312302},{""_id"":""179"",""Price"":131.34034194387732}]}"
49,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-84.64737752255014,53.58904110998188]}",2020-01-15T00:00:00Z,Japanese,4,1,"{""Items"":[{""_id"":""34"",""Price"":142.0904720684903},{""_id"":""243"",""Price"":31.119213204678363},{""_id"":""171"",""Price"":37.08015104479201},{""_id"":""148"",""Price"":2.429819044769006},{""_id"":""190"",""Price"":127.6805692807605},{""_id"":""281"",""Price"":1.132459371517517}]}"
50,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[44.32380021648879,-29.79546208892974]}",2018-03-22T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""192"",""Price"":115.89702864090329}]}"
